Frame,Score
Frame,Score
1000000,0.0
1250000,-0.0024
1500000,-0.0064
1750000,-0.0024
2000000,-0.01056
2250000,-0.02816
2500000,-0.0408
2750000,-0.04
3000000,-0.0032
3250000,-0.02496
3500000,-0.0184
3750000,-0.0224
4000000,-0.0232
4250000,-0.024
4500000,-0.0136
4750000,-0.024
5000000,-0.036
5250000,-0.0376
5500000,-0.0376
5750000,-0.0376
6000000,-0.0232
6250000,-0.0456
6500000,-0.0344
6750000,-0.0232
7000000,-0.0472
7250000,-0.0352
7500000,-0.0408
7750000,-0.0464
8000000,-0.0392
8250000,-0.0392
8500000,-0.0256
8750000,-0.0288
9000000,-0.0488
9250000,-0.0264
9500000,-0.0368
9750000,-0.0312
