Frame,Score
1000000,3.2464
1250000,3.5152
1500000,3.6488
1750000,3.8072
2000000,3.8408
2250000,3.866
2500000,3.88
2750000,3.8544
3000000,3.8612
3250000,3.942
3500000,3.9124
3750000,3.9304
4000000,3.9088
4250000,3.946
4500000,3.9096
4750000,3.94
5000000,3.94
5250000,3.9084
5500000,3.9492
5750000,3.9204
6000000,3.942
6250000,3.9464
6500000,3.9504
6750000,3.9108
7000000,3.9152
7250000,3.9448
7500000,3.9228
7750000,3.9312
8000000,3.9604
8250000,3.9472
8500000,3.956
8750000,3.9404
9000000,3.9496
9250000,3.9436
9500000,3.9588
9750000,3.9512
