Frame,Score
Frame,Score
1000000,0.416
1250000,0.6872
1500000,2.0288
1750000,1.0976
2000000,2.0595199999999996
2250000,2.4584
2500000,2.25128
2750000,2.4064
3000000,2.31304
3250000,2.5152799999999997
3500000,2.40496
3750000,2.58088
4000000,2.45152
4250000,2.5136
4500000,2.41208
4750000,2.5264
5000000,2.6232
5250000,2.6209599999999997
5500000,1.9278399999999998
5750000,1.03928
6000000,2.70408
6250000,2.64264
6500000,2.63848
6750000,2.5653599999999996
7000000,2.62016
7250000,2.7744
7500000,2.6188
7750000,2.63288
8000000,2.70336
8250000,2.59288
8500000,2.6771999999999996
8750000,2.72816
9000000,2.6480799999999998
9250000,2.6984
9500000,2.60112
9750000,2.6794399999999996
