Frame,Score
1000000,3.1324
1250000,3.4368
1500000,3.6728
1750000,3.7328
2000000,3.8272
2250000,3.5976
2500000,3.786
2750000,3.5016
3000000,3.8424
3250000,3.8496
3500000,3.8348
3750000,3.8388
4000000,3.8096
4250000,3.8672
4500000,3.8684
4750000,3.794
5000000,3.8964
5250000,3.8364
5500000,3.858
5750000,3.8592
6000000,3.9168
6250000,3.8948
6500000,3.8604
6750000,3.8496
7000000,3.8544
7250000,3.8996
7500000,3.8484
7750000,3.9236
8000000,3.9324
8250000,3.902
8500000,3.8388
8750000,3.8652
9000000,3.9
9250000,3.9168
9500000,3.946
9750000,3.9296
Frame,Score
Frame,Score
Frame,Score
