Frame,Score
1000000,8e-05
1250000,8e-05
1500000,0.0
1750000,0.0
2000000,0.0
2250000,0.0
2500000,8e-05
2750000,0.0
3000000,8e-05
3250000,0.0
3500000,0.00016
3750000,0.0016000000000000003
4000000,0.00047999999999999996
4250000,0.0027200000000000015
4500000,0.002320000000000001
4750000,0.005119999999999998
5000000,0.004239999999999998
5250000,0.004639999999999998
5500000,0.002000000000000001
5750000,0.002000000000000001
6000000,0.00016
6250000,0.00024000000000000003
6500000,8e-05
6750000,0.00024000000000000003
7000000,0.00016
7250000,0.0006399999999999999
7500000,0.0011200000000000001
7750000,0.0019199999999999998
8000000,0.00024000000000000003
8250000,8e-05
8500000,0.0004
8750000,0.0006399999999999999
9000000,0.0012800000000000003
9250000,0.00016
9500000,8e-05
9750000,0.00024000000000000003
