Frame,Score
1000000,1.13368
1250000,2.6304
1500000,3.0152
1750000,2.5056
2000000,2.91856
2250000,3.1040799999999997
2500000,3.22328
2750000,3.1272
3000000,3.1651199999999995
3250000,3.25608
3500000,3.07608
3750000,3.2064
4000000,3.372
4250000,3.35048
4500000,3.3112
4750000,3.33776
5000000,3.2488
5250000,2.5969599999999997
5500000,3.3704
5750000,3.34568
6000000,3.3648800000000003
6250000,3.4016800000000003
6500000,3.2562399999999996
6750000,3.4810399999999992
7000000,3.47456
7250000,3.03368
7500000,3.39528
7750000,3.23936
8000000,3.34176
8250000,3.4457600000000004
8500000,3.44328
8750000,3.48896
9000000,3.2756799999999995
9250000,3.412
9500000,3.4320800000000005
9750000,3.4448800000000004
