Frame,Score
1000000,0.0008
1250000,8e-05
1500000,0.0008
1750000,0.00088
2000000,0.0
2250000,0.0024
2500000,0.0008
2750000,0.0016
3000000,0.0048
3250000,0.0008
3500000,0.0016
3750000,0.0009600000000000001
4000000,0.0128
4250000,0.00328
4500000,0.0024
4750000,0.0032
5000000,0.01208
5250000,0.008320000000000001
5500000,0.01128
5750000,0.0088
6000000,0.016880000000000003
6250000,0.028400000000000005
6500000,0.022000000000000002
6750000,0.01288
7000000,0.027840000000000004
7250000,0.039360000000000006
7500000,0.08287999999999997
7750000,0.0596
8000000,0.06535999999999999
8250000,0.054479999999999994
8500000,0.025200000000000007
8750000,0.03864
9000000,0.0596
9250000,0.05944
9500000,0.05816000000000001
